# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# C1 — Crust: CRC Handbook - should be same numbers as the CRC data set that I made.
# C2 — Crust: Kaye and Laby
# C3 — Crust: Greenwood
# C4 — Crust: Ahrens (Taylor)
# C5 — Crust: Ahrens (Wänke)
# C6 — Crust: Ahrens (Weaver)
# U1 — Upper crust: Ahrens (Taylor)
# U2 — Upper crust: Ahrens (Shaw)
# Units are Kg element per Kg crust
#
#
number, symbol, name,          C1,                C2,                C3,           C4,           C5,           C6,           U1,           U2
28,     Ni,   nickel,           8.4E−5,            7.2E−5,           9.9E−5,       1.05E−4,      6.95E−5,      3.5E−5,       2E−5,         1.9E−5
29,     Cu,   copper,           6.0E−5,            5.8E−5,           6.8E−5,       7.5E−5,       4.7E−5,       ,             2.5E−5,       1.4E−5
30,     Zn,   zinc,             7.0E−5,            8.2E−5,           7.6E−5,       8.0E−5,       7.6E−5,       ,             7.1E−5,       5.2E−5
31,     Ga,   gallium,          1.9E−5,            1.7E−5,           1.9E−5,       1.8E−5,       1.86E−5,      ,             1.7E−5,       1.4E−5
32,     Ge,   germanium,        1.5E−6,            1.3E−6,           1.5E−6,       1.6E−6,       1.32E−6,      ,             1.6E−6,           
33,     As,   arsenic,          1.8E−6,            2.0E−6,           1.8E−6,       1.0E−6,       2.03E−6,      ,             1.5E−6,           
34,     Se,   selenium,         5E−8,              5E−8,             5E−8,         5E−8,         1.53E−7,      ,             5E−8,           
35,     Br,   bromine,          2.4E−6,            4.0E−6,           2.5E−6,       ,             6.95E−6,      ,             ,           
36,     Kr,   krypton,          1E−10,             ,                 ,             ,             ,             ,             ,           
37,     Rb,   rubidium,         9.0E−5,            7.0E−5,           7.8E−5,       3.2E−5,       7.90E−5,      6.1E−5,       1.12E−4,      1.10E−4
38,     Sr,   strontium,        3.70E−4,           4.5E−4,           3.84E−4,      2.60E−4,      2.93E−4,      5.03E−4,      3.50E−4,      3.16E−4
39,     Y,    yttrium,          3.3E−5,            3.5E−7,           3.1E−5,       2.0E−5,       ,             1.4E−5,       2.2E−5,       2.1E−5
40,     Zr,   zirconium,        1.65E−4,           1.4E−4,           1.62E−4,      1.00E−4,      ,             2.10E−4,      1.90E−4,      2.40E−4
41,     Nb,   niobium,          2.0E−5,            2.0E−5,           2.0E−5,       1.1000E−5,    ,             1.3000E−5,    2.5000E−5,    2.6000E−5
42,     Mo,   molybdenum,       1.2E−6,            1.2E−6,           1.2E−6,       1.000E−6,     ,             ,             1.500E−6,           
43,     Tc,   technetium,           ,              ,                 ,             ,             ,             ,             ,           
44,     Ru,   ruthenium,        1E−9,              ,                 1E−10,        ,             ,             ,             ,           
45,     Rh,   rhodium,          1E−9,              ,                 1E−10,        ,             ,             ,             ,           
46,     Pd,   palladium,        1.5E−8,            3E−9,             1.5E−8,       1.0E−9,       ,             ,             5E−10,           
47,     Ag,   silver,           7.5E−8,            8E−8,             8E−8,         8.0E−8,       6.95E−8,      ,             5.0E−8,           
48,     Cd,   cadmium,          1.5E−7,            1.8E−7,           1.6E−7,       9.8E−8,       1.00E−7,      ,             9.8E−8,           
49,     In,   indium,           2.5E−7,            2E−7,             2.4E−7,       5.0E−8,       6.95E−8,      ,             5.0E−8,           
50,     Sn,   tin,              2.3E−6,            1.5E−6,           2.1E−6,       2.500E−6,     ,             ,             5.500E−6,           
51,     Sb,   antimony,         2E−7,              2E−7,             2E−7,         2.00E−7,      2.03E−7,      ,             2.00E−7,           
52,     Te,   tellurium,        1E−9,              ,                 1E−9,         ,             2.03E−9,      ,             ,           
53,     I,    iodine,           4.5E−7,            5E−7,             4.6E−7,       ,             1.540E−6,     ,             ,           
54,     Xe,   xenon,            3E−11,             ,                 ,             ,             ,             ,             ,           
55,     Cs,   caesium,          3E−6,              1.6E−6,           2.6E−6,       1.000E−6,     1.310E−6,     ,             3.700E−6,           
56,     Ba,   barium,           4.25E−4,           3.8E−4,           3.90E−4,      2.50000E−4,   5.42000E−4,   7.07000E−4,   5.50000E−4,   1.070000E−3
57,     La,   lanthanum,        3.9E−5,            5.0E−5,           3.5E−5,       1.6000E−5,    2.9000E−5,    2.8000E−5,    3.0000E−5,    3.200E−6
58,     Ce,   cerium,           6.65E−5,           8.3E−5,           6.6E−5,       3.3000E−5,    5.4200E−5,    5.7000E−5,    6.4000E−5,    6.5000E−5
59,     Pr,   praseodymium,     9.2E−6,            1.3E−5,           9.1E−6,       3.900E−6,     ,             ,             7.100E−6,           
60,     Nd,   neodymium,        4.15E−5,           4.4E−5,           4.0E−5,       1.6000E−5,    2.5400E−5,    2.3000E−5,    2.6000E−5,    2.6000E−5
61,     Pm,   promethium,           ,              ,                 ,             ,             ,             ,             ,           
62,     Sm,   samarium,         7.05E−6,           7.7E−6,           7.0E−6,       3.500E−6,     5.590E−6,     4.100E−6,     4.500E−6,     4.500E−6
63,     Eu,   europium,         2.0E−6,            2.2E−6,           2.1E−6,       1.100E−6,     1.407E−6,     1.090E−6,     8.80E−7,      9.40E−7
64,     Gd,   gadolinium,       6.2E−6,            6.3E−6,           6.1E−6,       3.300E−6,     8.140E−6,     ,             3.800E−6,     2.800E−6
65,     Tb,   terbium,          1.2E−6,            1.0E−6,           1.2E−6,       6.00E−7,      1.020E−6,     5.30E−7,      6.40E−7,      4.80E−7
66,     Dy,   dysprosium,       5.2E−6,            8.5E−6,           ,             3.700E−6,     6.102E−6,     ,             3.500E−6,           
67,     Ho,   holmium,          1.3E−6,            1.6E−6,           1.3E−6,       7.80E−7,      1.860E−6,     ,             8.00E−7,      6.20E−7
68,     Er,   erbium,           3.5E−6,            3.6E−6,           3.5E−6,       2.200E−6,     3.390E−6,     ,             2.300E−6,           
69,     Tm,   thulium,          5.2E−7,            5.2E−7,           5E−7,         3.20E−7,      ,             2.40E−7,      3.30E−7,           
70,     Yb,   ytterbium,        3.2E−6,            3.4E−6,           3.1E−6,       2.200E−6,     3.390E−6,     1.530E−6,     2.200E−6,     1.500E−6
71,     Lu,   lutetium,         8E−7,              8E−7,             ,             3.00E−7,      5.76E−7,      2.30E−7,      3.20E−7,      2.30E−7
72,     Hf,   hafnium,          3.0E−6,            4E−6,             2.8E−6,       3.000E−6,     3.460E−6,     4.700E−6,     5.800E−6,     5.800E−6
73,     Ta,   tantalum,         2.0E−6,            2.4E−6,           1.7E−6,       1.000E−6,     2.203E−6,      ,            2.200E−6,           
74,     W,    tungsten,         1.25E−6,           1.0E−6,           1.2E−6,       1.000E−6,     1.310E−6,      ,            2.000E−6,           
75,     Re,   rhenium,          7E−10,             4E−10,            7E−10,        5E−10,        1.02E−9,       ,            5E−10,           
76,     Os,   osmium,           1.5E−9,            2E−10,            5E−9,         ,             1.02E−9,       ,            ,           
77,     Ir,   iridium,          1E−9,              2E−10,            1E−9,         1E−10,        1.02E−9,       ,            2E−11,           
78,     Pt,   platinum,         5E−9,              ,                 1E−8,         ,             ,              ,            ,           
79,     Au,   gold,             4E−9,              2E−9,             4E−9,         3.0E−9,       4.07E−9,       ,            1.8E−9,           
80,     Hg,   mercury,          8.5E−8,            2E−8,             8E−8,         ,             ,              ,            ,           
81,     Tl,   thallium,         8.5E−7,            4.7E−7,           7E−7,         3.60E−7,      ,              ,            7.50E−7,      5.20E−7
82,     Pb,   lead,             1.4E−5,            1.0E−5,           1.3E−5,       8.000E−6,     ,              1.5000E−5,   2.0000E−5,    1.7000E−5
83,     Bi,   bismuth,          8.5E−9,            4E−9,             8E−9,         6.0E−8,       ,              ,            1.27E−7,           
84,     Po,   polonium,         2E−16,             ,                 ,             ,             ,              ,            ,           
85,     At,   astatine,           ,                ,                 ,             ,             ,              ,            ,           
86,     Rn,   radon,            4E−19,             ,                 ,             ,             ,              ,            ,           
87,     Fr,   francium,           ,                ,                 ,             ,             ,              ,            ,           
88,     Ra,   radium,           9E−13,             ,                 ,             ,             ,              ,            ,           
89,     Ac,   actinium,         5.5E−16,           ,                 ,             ,             ,              ,            ,           
90,     Th,   thorium,          9.6E−6,            5.8E−6,           8.1E−6,       3.500E−6,     ,              5.700E−6,    1.0700E−5,    1.0000E−5
91,     Pa,   protactinium,     1.4E−12,           ,                 ,             ,             ,              ,            ,           
92,     U,    uranium,          2.7E−6,            1.6E−6,           2.3E−6,       9.10E−7,      1.200E−6,      1.300E−6,    2.800E−6,     2.500E−6
93,     Np,   neptunium,           ,               ,                 ,             ,             ,              ,            ,           
94,     Pu,   plutonium,           ,               ,                 ,             ,             ,              ,            ,           
