# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# S1 — Sun: Kaye & Laby ("approx" column indicates where values are appromimate for S1)
# Y1 — Solar System: Kaye & Laby
# Y2 — Solar System: Ahrens, with, uncertainty in percent
# Atom mole fraction relative to silicone, (Si = 1)
#
#
number, symbol, name,       "approx",       S1,         Y1,        Y2,        "percent error in Y2"
72, Hf,     hafnium,                ,       2.1E−7,     1.5E−7,    1.54E−7,     1.9
73, Ta,     tantalum,               ,       ,           3.8E−8,    2.07E−8,     1.8
74, W,      tungsten,       "approx",       3.6E−7,     1.3E−7,    1.33E−7,     5.1
75, Re,     rhenium,                ,       ,           5.0E−8,    5.17E−8,     9.4
76, Os,     osmium,                 ,       8.0E−7,     6.7E−7,    6.75E−7,     6.3
77, Ir,     iridium,                ,       6.0E−7,     6.6E−7,    6.61E−7,     6.1
78, Pt,     platinum,       "approx",       1.8E−6,     1.34E−6,   1.34E−6,     7.4
79, Au,     gold,           "approx",       3.0E−7,     1.9E−7,    1.87E−7,     15
80, Hg,     mercury,                ,       ,           3.4E−7,    3.40E−7,     12
81, Tl,     thallium,       "approx",       2.0E−7,     1.9E−7,    1.84E−7,     9.4
82, Pb,     lead,                   ,       2.0E−6,     3.1E−6,    3.15E−6,     7.8
83, Bi,     bismuth,                ,       ,           1.4E−7,    1.44E−7,     8.2
84, Po,     polonium,               ,       ,             ,            ,
85, At,     astatine,               ,       ,             ,            ,
86, Rn,     radon,                  ,       ,             ,            ,
87, Fr,     francium,               ,       ,             ,            ,
88, Ra,     radium,                 ,       ,             ,            ,
89, Ac,     actinium,               ,       ,             ,            ,
90, Th,     thorium,                ,       5.0E−8,     4.5E−8,    3.35E−8,     5.7
91, Pa,     protactinium,           ,       ,             ,            ,
92, U,      uranium,                ,       ,           1.8E−8,    9.00E−9,     8.4
93, Np,     neptunium,              ,       ,             ,            ,
94, Pu,     plutonium,              ,       ,             ,            ,



























































































